          %pt            TT            TS            SS            SS2j            Tot
        0.200    2.07598E-03    1.28217E-06    1.21061E-06    2.44242E-08    2.07850E-03
        0.527    1.80212E-03    1.38930E-05    6.32868E-06    2.27891E-07    1.82257E-03
        0.853    1.37354E-03    4.64201E-05    1.43243E-05    7.36006E-07    1.43502E-03
        1.180    9.18720E-04    9.28748E-05    2.43829E-05    1.54912E-06    1.03753E-03
        1.507    5.42082E-04    1.39884E-04    3.58818E-05    2.61868E-06    7.20467E-04
        1.833    2.85156E-04    1.76078E-04    4.10056E-05    3.90032E-06    5.06139E-04
        2.160    1.35563E-04    1.95008E-04    3.13781E-05    5.35974E-06    3.67309E-04
        2.487    5.90803E-05    1.94835E-04    2.29473E-05    6.95347E-06    2.83816E-04
        2.813    2.39221E-05    1.77711E-04    1.69787E-05    8.60833E-06    2.27220E-04
        3.140    9.10630E-06    1.48835E-04    1.26700E-05    1.02133E-05    1.80825E-04
        3.467    3.29175E-06    1.14783E-04    9.52847E-06    1.16259E-05    1.39229E-04
        3.793    1.13943E-06    8.15873E-05    7.22138E-06    1.26896E-05    1.02638E-04
        4.120    3.80289E-07    5.33961E-05    5.51578E-06    1.32571E-05    7.25493E-05
        4.447    1.23074E-07    3.20741E-05    4.24619E-06    1.32156E-05    4.96589E-05
        4.773    3.88030E-08    1.75891E-05    3.29439E-06    1.25139E-05    3.34362E-05
        5.100    1.19638E-08    8.75887E-06    2.57560E-06    1.11872E-05    2.25337E-05
        5.427    3.61865E-09    3.97679E-06    2.02874E-06    9.37517E-06    1.53843E-05
        5.753    1.07657E-09    1.71179E-06    1.60958E-06    7.31960E-06    1.06421E-05
        6.080    3.15717E-10    7.33858E-07    1.28595E-06    5.30666E-06    7.32679E-06
        6.407    9.14355E-11    3.14909E-07    1.03429E-06    3.74078E-06    5.09008E-06
        6.733    2.61916E-11    1.35299E-07    8.37225E-07    2.66491E-06    3.63746E-06
        7.060    7.43033E-12    5.82170E-08    6.81866E-07    1.91740E-06    2.65749E-06
        7.387    2.08995E-12    2.50921E-08    5.58589E-07    1.39254E-06    1.97622E-06
        7.713    5.83396E-13    1.08349E-08    4.60155E-07    1.02032E-06    1.49131E-06
        8.040    1.61750E-13    4.68787E-09    3.81084E-07    7.53856E-07    1.13963E-06
        8.367    4.45745E-14    2.03247E-09    3.17199E-07    5.61387E-07    8.80619E-07
        8.693    1.22169E-14    8.83085E-10    2.65298E-07    4.21181E-07    6.87363E-07
        9.020    3.33193E-15    3.84529E-10    2.22909E-07    3.18222E-07    5.41515E-07
        9.347    9.04690E-16    1.67809E-10    1.88111E-07    2.42034E-07    4.30313E-07
        9.673    2.44653E-16    7.33948E-11    1.59407E-07    1.85246E-07    3.44726E-07
